sequence,phase,logical_evidence_time_utc,filesystem_birth_utc,filesystem_mtime_utc,archive_path,description,timestamp_fidelity
74,30,2026-09-04T14:20:02.722079460Z to 2026-09-04T14:21:11.259311599Z,2026-09-04 14:20:47.093118737 +0000,2026-09-04 14:20:50.961118737 +0000,Agent 9 edge/payload/home/user/environment_evidence/runs/20260904T142002Z-2576/raw/10_throughput.txt,Direct Google/GitHub/PyPI/Hugging Face/Cloudflare download and upload throughput transcript.,Exact full-run interval from the hash-verified manifest; per-file current inode birth/mtime is also recorded.
75,30,2026-09-04T14:20:02.722079460Z to 2026-09-04T14:21:11.259311599Z,2026-09-04 14:20:50.965118737 +0000,2026-09-04 14:20:57.213118737 +0000,Agent 9 edge/payload/home/user/environment_evidence/runs/20260904T142002Z-2576/raw/11_benchmarks.txt,"Direct CPU, NumPy, sequential disk, warm-cache, and direct-I/O benchmark transcript.",Exact full-run interval from the hash-verified manifest; per-file current inode birth/mtime is also recorded.
76,30,2026-09-04T14:20:02.722079460Z to 2026-09-04T14:21:11.259311599Z,2026-09-04 14:20:57.213118737 +0000,2026-09-04 14:21:03.313118737 +0000,Agent 9 edge/payload/home/user/environment_evidence/runs/20260904T142002Z-2576/raw/12_install_compile.txt,Direct venv/pip/npm/GCC/Make/apt install and cleanup transcript.,Exact full-run interval from the hash-verified manifest; per-file current inode birth/mtime is also recorded.
77,30,2026-09-04T14:20:02.722079460Z to 2026-09-04T14:21:11.259311599Z,2026-09-04 14:21:03.321118737 +0000,2026-09-04 14:21:11.241118737 +0000,Agent 9 edge/payload/home/user/environment_evidence/runs/20260904T142002Z-2576/raw/13_memory_process.txt,Direct controlled-memory-allocation and local background heartbeat transcript.,Exact full-run interval from the hash-verified manifest; per-file current inode birth/mtime is also recorded.
78,30,2026-09-04T14:20:02.722079460Z to 2026-09-04T14:21:11.259311599Z,2026-09-04 14:21:11.241118737 +0000,2026-09-04 14:21:11.253118737 +0000,Agent 9 edge/payload/home/user/environment_evidence/runs/20260904T142002Z-2576/raw/14_persistence.txt,"Direct run-sentinel, raw-file listing, and final capacity transcript.",Exact full-run interval from the hash-verified manifest; per-file current inode birth/mtime is also recorded.
79,31,2026-09-04 14:21:45.353118737 +0000,2026-09-04 14:21:45.349118737 +0000,2026-09-04 14:21:45.353118737 +0000,Agent 9 edge/payload/home/user/environment_evidence_20260904T142002Z-2576.zip,Earlier compact evidence bundle containing the canonical full probe run and its documentation.,Current inode birth/mtime available.
80,31,2026-09-04 14:21:45.365118737 +0000,2026-09-04 14:21:45.365118737 +0000,2026-09-04 14:21:45.365118737 +0000,Agent 9 edge/payload/home/user/environment_evidence_20260904T142002Z-2576.zip.sha256,External SHA-256 sidecar for the earlier compact evidence bundle.,Current inode birth/mtime available.
81,40,2026-09-04 14:29:42.253563268 +0000,2026-09-04 14:29:42.253563268 +0000,2026-09-04 14:31:45.713563268 +0000,Agent 9 edge/payload/home/user/build_agent9_archive.py,Self-contained builder used to create this comprehensive Agent 9 edge archive and its metadata.,Current inode birth/mtime available.
82,50,2026-09-04T14:31:48.936310Z,2026-09-04 14:31:49.413563268 +0000,2026-09-04 14:31:49.413563268 +0000,Agent 9 edge/00_READ_ME_FIRST.md,"Primary archive guide: scope, layout, verification, timestamp fidelity, and self-inclusion caveat.",Exact current inode metadata from archive staging; generated during packaging.
83,50,2026-09-04T14:31:48.936310Z,2026-09-04 14:31:49.409563268 +0000,2026-09-04 14:31:49.409563268 +0000,Agent 9 edge/documentation/01_USER_PROMPTS_EXACT.txt,"Exact user prompts in conversation order, with explicit notice that receipt timestamps were unavailable.",Exact current inode metadata from archive staging; generated during packaging.
84,50,2026-09-04T14:31:48.936310Z,2026-09-04 14:31:49.413563268 +0000,2026-09-04 14:31:49.413563268 +0000,Agent 9 edge/documentation/02_IMPORTANT_METADATA.json,"Machine-readable archive, environment, provenance, run, and identifier metadata.",Exact current inode metadata from archive staging; generated during packaging.
85,50,2026-09-04T14:31:48.936310Z,2026-09-04 14:31:49.413563268 +0000,2026-09-04 14:31:49.413563268 +0000,Agent 9 edge/documentation/03_DELETED_OR_EPHEMERAL_ARTIFACTS.md,Disclosure of temporary/deleted files and nonportable state that cannot be included.,Exact current inode metadata from archive staging; generated during packaging.
86,50,2026-09-04T14:31:48.936310Z,2026-09-04 14:31:49.413563268 +0000,2026-09-04 14:31:49.413563268 +0000,Agent 9 edge/documentation/04_CONVERSATION_AND_ARTIFACT_SEQUENCE.md,"Human-readable sequence linking prompts, measurement runs, reports, scripts, and this archive.",Exact current inode metadata from archive staging; generated during packaging.
